comm_dist_boro,comm_district,dv_fel_assault,dv_rape,fam_dir,fam_fel_assault,fam_rape,report_year
Brooklyn,13,110,9,1336,46,3,2018
Brooklyn,14,96,10,1166,35,4,2018
Brooklyn,15,86,6,905,31,1,2018
Brooklyn,16,236,19,2878,88,10,2018
Brooklyn,17,271,17,1827,110,9,2018
Brooklyn,18,183,9,2219,86,5,2018
Brooklyn,BKJIA,4,1,18,1,0,2018
Brooklyn,Unknown,0,0,6,0,0,2018
Bronx,Total,2588,212,25788,1031,97,2018
Manhattan,1,18,0,121,2,0,2018
Manhattan,2,19,0,159,4,0,2018
Manhattan,3,123,18,1497,51,3,2018
Manhattan,4,58,10,568,7,2,2018
Manhattan,5,38,5,251,9,1,2018
Manhattan,6,32,2,322,11,0,2018
Manhattan,7,71,7,1066,26,2,2018
Manhattan,8,54,1,404,12,1,2018
Manhattan,9,103,7,1394,38,1,2018
Manhattan,10,191,13,3092,71,3,2018
Manhattan,11,219,16,2880,78,8,2018
Manhattan,12,164,23,1591,55,9,2018
Manhattan,MNJIA,0,0,3,0,0,2018
Manhattan,Unknown,0,0,3,0,0,2018
Manhattan,Total,1090,102,13351,364,30,2018
Queens,1,141,15,1500,58,4,2018
Queens,2,46,5,492,12,2,2018
Queens,3,179,26,1180,68,10,2018
Queens,4,136,22,893,35,10,2018
Queens,5,95,10,748,38,7,2018
Queens,6,24,7,329,9,2,2018
Queens,7,80,7,838,39,1,2018
Queens,8,68,13,960,32,4,2018
Queens,9,85,9,1243,37,2,2018
Queens,10,116,11,1214,45,1,2018
Queens,11,36,3,362,15,2,2018
Queens,12,414,27,3284,180,11,2018
Queens,13,215,7,1550,95,0,2018
Queens,14,219,17,1949,86,8,2018
Queens,QNJIA,2,0,4,2,0,2018
Queens,Unknown,0,0,36,0,0,2018
Queens,Total,1856,179,16582,751,64,2018
Staten Island,1,173,27,2923,61,12,2018
Staten Island,2,50,6,901,23,1,2018
Staten Island,3,37,4,785,15,1,2018
Staten Island,SIJIA,0,0,1,0,0,2018
Staten Island,Unknown,0,0,0,0,0,2018
Staten Island,Total,260,37,4610,99,14,2018
