"","votes.funny","votes.useful","votes.cool","user_id","name","average_stars","review_count"
"30",1,5,3,"hqjDAPapGKJ3U4wUN1dGMA","LaToya",4.33,3
"31",113,386,147,"iR8iTaCOjQCM-JG4qf23NQ","Kate",3.79,155
"32",1,3,1,"1Md7FNu_GujIwxbb9TqSqQ","DAVID",3.89,18
"33",0,1,0,"-LmTXrlHEfLpDi34FVXNAg","Camille",4,9
"34",1,2,0,"ysZSP646Ikjb9pPKxuBurw","Lorena",4.2,5
"35",21,38,37,"gXQ3peDz-H8mFZO_U4ys3w","Riana",4.27,30
"36",5,17,8,"8gIp7Emu7xBDnBjRKgkSOg","Mimi",3.87,15
"37",8,20,12,"44302NAooinHOKKIWHDKXA","Kelsey",4.07,41
"38",1,1,1,"BDa9RGFZv9TV2lGAiuqjxQ","Mary",5,1
"39",1,14,2,"qw8n1PUrt4qBh-4eMjfv0Q","Carmen",4.11,27
"40",0,3,0,"F2M53He6gzMb1vp3m7cKJg","Syd",4.78,10
"41",2,6,1,"q10h5nL1LnbaKMlNOfahfQ","O",4.33,3
"42",317,1244,890,"CUUpi7gtqx1zojEGJ6Z5ew","Gabe",3.82,407
"43",295,795,527,"6hvcowqr8NYug9u-Bzw8Jg","Jay",3.51,379
"44",1,1,1,"pjfwk6ZnCAcJAsX4V6QhpA","Dustin",5,1
"45",26,35,16,"lodglSjhVGXzRUTDMoyOCg","Brian",3.14,118
"46",2,5,0,"vSxaLh9RCl1BJDbIt0hxww","Ruby",4,5
"47",0,4,0,"yBMGCKvNXnb9Gr6VVRTHGw","Gerard",1.5,2
"48",11,17,11,"lzHNLEvRNFN-RQFmczYNBw","Katie",4.14,15
"49",0,0,1,"HplYk367S1EV6uywIIK5-w","Joe",4.33,3
"50",3,6,1,"sGL10Y44CVzzKNkLVeHOEQ","Dana",3.55,11
"51",142,209,135,"UF4IY9O6EaVo-hS5FqMsiA","Marisa",3.91,193
"52",0,1,0,"j9CYALELapJci8kQ61_7Cg","Nicole",4.25,5
"53",6,6,5,"Q9YX5k3ICwUYGkMjADSokQ","Melvyn",4.31,13
"54",356,359,268,"dYtkphUrU7S2_bjif6k2uA","Junk",3.3,267
"55",0,1,0,"jgOtDM_CSVHoWhlf3JxUzQ","Alan",4.33,3
"56",94,166,95,"rbcbqdr8hV0iv8ISMheE3A","Kai",3.81,214
"57",15,52,11,"1NppMyL-2RXQvHUExIjxdA","Mike",3.52,90
"58",18,89,26,"cMmQsFyrYBv6hIE6NffqZQ","D",3.81,79
"59",444,970,728,"eSAmN-5RAu8y1igSvz_yJw","Eddie",3.95,252
"60",17,24,17,"VKOREbYBDBK5oaorb6j6mQ","kelly",4.13,23
"61",1,4,0,"LRsJbMmLXcMpZ3Fqcys0vA","Glenn",3.88,8
"62",1,24,10,"qQxDnjMexrsfltQV7I1mJw","Russ",3.81,21
"63",0,1,0,"pYfB2Asdqg5ampdmqEjdzA","Angie",5,1
"64",0,0,0,"-aCl04VaJ4FWzo7y2diKZg","Alex",5,1
"65",0,5,1,"TGQRbUuikgzO2ARVicH1cQ","Debra",4.75,4
"66",87,171,118,"akmkd_2iLRrbOyPBfYLN0A","Miss Kae",3.24,59
"67",3,12,2,"f72UJVOllcjgpZdOi7-gkA","M",3.5,7
"68",1,4,1,"EJeBInfAGoBiVWqXX2YTQg","James",4,3
"69",0,1,0,"rpMb-wEYPevvuaKLIbqrvQ","Ania",1,1
"70",0,2,1,"iIfuhtK9Pu7tLSNbxxoJfg","Lenin",5,2
"71",0,3,0,"BE27SDgLqJTEjVq2p9yZDg","Ryan",1,1
"72",7,11,4,"IFKDDiyY-ap8DNaSCIwbZQ","Catherine",3.1,32
"73",0,1,0,"sowwcc9gasFhwsdMgsMzrg","Nicole",4.75,4
"74",0,0,0,"XYx6ZiTSIpbC3qm_xEm-KA","Ron",4.33,3
"75",29,35,25,"zKyJDKJwAfWGB4HKXp9snw","Eric",4,36
"76",0,4,0,"owCSYaRJEiV-kk2L2HP00A","SJ",1,2
"77",5,17,7,"uBAMd01ZtGXaHrRD6THNzg","Anthony",4.33,16
"78",4,8,3,"JopzNRMvBxIc_M5pZfoK7Q","T",2.38,16
"79",9,9,2,"FxEau0b8pC_N7QeZNHZZtw","Justin",2.8,12
"80",7,31,7,"u74AsCsDA4gSOGHySJTm3w","Rob",3.56,25
"81",0,6,7,"2QzrMw_uWZuhPFvqie0cmg","Joe",4,8
"82",6,7,7,"z-TD7Mf07w8jdS2xbYp0Dw","A",5,5
"83",5,6,5,"_j70DLAT_Unc8uR_PNkp_Q","Jordan",5,5
"84",0,0,0,"ZpRbqGdmhgiENWtw_XQ4OA","Andrew",1,1
"85",20,49,11,"4expbzCvfg4ZEWh8MOD9Cw","Tyson",3.5,24
"86",0,5,3,"J0jywlzX6xwjDqPewyv7MA","Sharon",3.5,2
"87",15,67,25,"fM6zztYtf9W5DsXUhy941Q","Mister",3.65,71
"88",1,3,2,"F3kzrZd3R_z60p5mPeAT-Q","Chrystal",4.5,3
"89",0,1,0,"Lw2JfTJSlGLJa_qjoeYnbg","Emily",4.2,5
"90",16,66,41,"TSmeNkbRpG_8REsLeTIwnA","Jeremy",3.31,70
"91",103,179,60,"GDs9jnBBln3KhU0teNsHDQ","Eric",3.31,380
"92",5,14,5,"UlF9QddRCygQrmmXuwIFjg","Arnold",3.87,42
"93",0,0,0,"K-N_hbnmYNt35J35ocjbww","Jack",3,1
"94",6,26,5,"GN-4LStZtWdAqNjwUUEvNQ","Adam",3.78,18
"95",1,6,1,"jv9monaBCfX84LIW5gFs2w","Russell",3,2
"96",0,3,0,"3ouCNuKrN3cw3bBZHXdcyQ","Nicole",3.6,6
"97",3,25,3,"SfXcp7C6lzRgYBiNL6zX7w","Nikolas",4.27,26
"98",1,4,4,"kfvcQcMouoxlw4bmQebxww","Pam",3.75,4
"99",196,578,412,"2mQpxWifARjbp7H1rehVrQ","Sal",3.65,238
"100",0,1,0,"YyV13Qb7TL-o1rvn_b1VGA","Aaron",5,1
"101",0,2,0,"Cw_f-K74pUnQs-A16itmEg","John",4,3
"102",0,4,0,"weBOpmQtMv8Z_L54gPs3hw","Jennifer",3.86,9
"103",1,3,0,"Uo74EZEYjOeEfsUpdS3oiw","Billy",3.5,2
"104",3,7,2,"JiJSN4Ke7om8lkkllKTR5A","Allison",3.95,21
"105",18,48,21,"AcErO3j0GFTXbdJHbuD2-Q","Ron",3.79,47
"106",0,2,0,"1O7mOUPJCxB6e5pdyCin4g","AB",4,5
"107",1,12,0,"nu6xTWhL3SVrnxPgJOE73Q","Stephanie",1.8,7
"108",0,4,2,"xZJO6cRX6OHabaePvPzsXw","Sarah",4.17,6
"109",0,2,0,"v1ntgoANp9xLxf4u5iJR4Q","Tim",5,2
"110",1,3,2,"bbVdfdqq3_XmWTxrhqPa0Q","Chris",4,4
"111",2,6,1,"Qo8UkUSL5y-MCw50eIACsQ","Daphne",3.17,18
"112",210,907,580,"sXWvDlMQspjJ1zzr3cEM7Q","Meridith",3.64,439
"113",5,28,11,"Wg4mxEGEI7Vz8VC0WCI69Q","Joe",3.62,14
"114",0,16,3,"fJH98Ok6ZlfBmsd0h_HaUQ","Anne",3.5,8
"115",0,3,2,"hkXeZdoz2uk1ZLORqYQ47w","Richard",4.12,8
"116",0,1,0,"tHE3AJdBju9VQ0fzbP72dw","Jordana",5,1
"117",8,39,14,"O5dNmqcrCiE7FG7VS3y-Cw","Chase",3.75,28
"118",1,10,0,"ify3N2NjFX_sjDnslizsvw","Grace",3.85,26
"119",0,1,0,"oQSK7Poz3Ex95qpsv2EUcg","Donald",5,1
"120",9,28,6,"SFWaDnvJtHPD0pIru1y8wg","Kathy",3.92,12
"121",5,3,1,"ThZw3MFhwjxU4bjeFL3Pcg","Kelli",4.6,5
"122",5,6,5,"ZsjBAQiO5lNa_Tzlr3_FlQ","Daniel",3.8,5
"123",43,209,91,"oFHxCaz9iIkuilTtqlzxEg","Larisa",3.93,332
"124",0,1,0,"bzE1d8iiwkswuyjqC7r11Q","Jonathan",3.33,3
"125",3,12,4,"RD2YHSnQCy2iSN_EGo3QdA","Jason",3.67,4
"126",6,21,6,"nr5-g3HCSidJ9fBoAP39jA","Justus",3.97,29
"127",2,4,1,"9b7HeM91XY9tIFGFVi7Y5A","Jennifer",3.71,8
"128",1,3,1,"AIvZS_tQ7y-ADNji1KM9Bg","Cathy",3,4
"129",4,8,1,"iSjr5iewkapr08l5SPAi0A","Jennifer",1.6,7
"130",3,11,3,"dlcDKOOlGeQ7Cu-6tAiHYg","carrie",3.93,30
"131",6,16,5,"T2u4D_GmKo5KbDiXLRTcyA","lenoxx",3.43,15
"132",2,2,2,"AdNbFzW14o88wNo7dTKz6g","George",3.5,3
"133",3,9,1,"RxX5_RP3hSGpMhGY6y6OiQ","Joe",4.85,13
"134",0,0,0,"yf8gN_pRFE4c3zs1D72l4g","Staria",4,2
"135",35,140,58,"bWNjCQyTJttofo3dKtTTPQ","Tricia",3.75,198
"136",0,1,0,"PyhTmEpgkP1CMGJP-bB9DA","Richard",5,1
"137",2036,3391,2331,"4CJGQajGdc8JwFneADetcQ","Jeff",3.67,1357
"138",2,2,0,"3sfS66tTc2BLmcU959dSsg","Simon",4.15,14
"139",0,4,2,"LFLqZT3zTP5nJ0kH_ydVkg","Amy",2.75,4
"140",2,11,6,"JK0mzJWym6AFSrw849bmrQ","Steven",4.18,11
"141",4,11,4,"ngU1vdwjT2lGOsdTq1JK5A","Steve",4.22,9
"142",1,31,11,"23zT_daU4O5VcFnajw8MTg","Casey",4,22
"143",9,22,3,"SgLoVOP_KUVQuDDI3PpkFA","Jessica",3.88,17
"144",1,0,0,"83UjWE-VBOoOws1oI4JhfA","Paula",5,3
"145",1,14,4,"4k3-pyX966dnSMuvuBvLjA","Rachel",3.85,13
"146",0,0,1,"eT1fp_Js2GD5Z-FIt8CC1w","Pam",5,2
"147",0,8,1,"nTFnSwqOpyj5d4IifRa8XQ","alex",3.67,3
"148",0,1,0,"8Kvmut7tOYkAxa5KPBT3FA","Mary",3.5,4
"149",4,7,4,"vh85A2GSrIovm3W7CG4R0g","e.",4.75,4
"150",1,6,1,"4QA8ilDzVnF4j__I6E4T6w","Becky",2.8,5
"151",0,1,0,"OIEmHXKytEoQfnOu2Ozmgw","P",4.75,5
"152",0,0,0,"J-H-q2-4AyFM1ILE4MARAA","Terrence",5,1
"153",0,9,3,"gQm2p1gmBPQ4f1sHxgRlbw","Conrad",5,6
"154",1,0,0,"GIBTgFC8amRa295ozndJIQ","Charles",4,2
"155",0,3,1,"N56tE_bSNVAgk59avW-TFA","Mary",4.83,6
"156",1,5,3,"Qx6Kq92S72-tik94Hfn0UA","Madinah",5,2
"157",1,1,0,"zGsGvKgD-5ZtXNzTagjbkQ","Sue",1,2
"158",7,30,11,"vz05hlteS6XvnczIInsnqw","Corey",3.73,40
"159",2,3,3,"lw_Lj1XjPjOYrDIkDEcDzg","Kimberly",4.2,10
"160",0,0,0,"6dDBJ5G-C5lcuLeUAwwdvQ","Evan",4,1
"161",1,4,0,"cKFd4AkPGpOkEy9zR_7O5w","Alyssa",3.92,13
"162",0,0,0,"sv6o8BdnMM8UB-KTH6N7kw","Cheryl",5,1
"163",349,776,402,"O8tNWUq6vPmvq2YTVD8hlA","Jill",4.12,258
"164",0,1,0,"F98yAgA43QQR0woD80Voaw","Jean",2.5,2
"165",0,1,1,"chHirosDitN1crv1thxA6w","Amy",5,2
"166",3,29,4,"ShQZSh_0Be48sy-JQOb5dg","Erin",3.67,43
"167",4,8,1,"jd_A8MB3M33Xy9Dd7UJ7_Q","Cassandra",3.7,10
"168",0,1,0,"Igu8LjeJunbmmsZycWZuEA","Jay",2.33,3
"169",3,5,1,"F5ACaWQvyUQ2HH7-YIkdkw","Charles",1.75,4
"170",0,0,0,"e1a1i8aFuFeSn2dJbKycmw","Ovi",3,1
"171",4,14,5,"sNek-w3xKlwit6q_JpnT7Q","Jamy",3.83,23
"172",0,1,0,"SH9lxmHsiUxQ-2Ic7A0Bcw","Alex",4.5,5
"173",5,17,8,"Kc6eyirhmOH8vXBljMXDCg","Sandra",2.62,10
"174",0,4,0,"IWCF21myBYma3Cmb_9Z8LA","Mini",3.38,9
"175",1,6,1,"UG4Mj3GJs4PpnFlF6z7g1Q","Kayla",3.4,5
"176",1,5,1,"_D1zyYMjll4almoGZjBmkA","Lydia",5,5
"177",0,12,0,"oYiskdGb0XYT2NjRb-s_qg","Jeri",3,9
"178",1,2,2,"15J3D1xNze1NbO2SoqAQfg","Frank",4.4,6
"179",3,16,1,"o99g5QZpt_wc4bk1uvEH7w","Peter",4,10
"180",16,66,14,"bgjGWDjAxqIPF7BJBUps2A","Molly",2.57,24
"181",2,6,4,"iY_jDdD4BrRMSYgn3tCDtQ","Stu",4,5
"182",0,1,0,"nAjxNm5aWD60h6qy2bMacQ","Stef",4.33,3
"183",5,9,3,"US3AZyMVZJxg_3Tzs4xoEA","Julie",2.8,15
"184",1,19,4,"nUGV1dVjO84ZI3nplRbwFQ","Luke",4.2,5
"185",0,0,0,"R5jIAytpLfAPwsIpsViEsQ","Scottsdale",1,1
"186",2,8,3,"yTvUoE-kAg6l11mGkdJFJA","Thomas",3.75,4
"187",0,2,0,"DYs-7UH4lhgjvGe4d8huvA","Laurie",2,3
"188",12,63,47,"0bf_zvgBrEOnx7TLh8dxOQ","Tony",3.63,173
"189",0,1,0,"JvVYWmY3xmiu5cpbsGfTaA","Matt",4,2
"190",24,92,27,"ATlqgcQwb3XzvDnq3Lv-0A","Ryan",3.72,133
"191",6,30,10,"MAvkqp_gDtKYU1d981XnwA","Kyle",3.96,24
"192",4,18,2,"POPVwe5sCm-SQZVkBo8S2w","Sean",4.05,43
"193",14,46,9,"8D408fDn0twwIW6FZ42YWg","Kathy",3.15,26
"194",12,27,6,"c-nW0Acxj4mbX47XSpmJPg","emi",3.62,37
"195",26,41,21,"qm5xGd3d47RfLWib0ryMAg","amanny",3.83,18
"196",1,2,3,"6SLj8XiCdqeR_DHR2JmEdw","Laurie",4,3
"197",3,3,2,"fl3mDJ62rLlKIdF39Lv8MQ","Chris",3.33,6
"198",0,2,1,"btv7I8PxSgF4GQFIDq4rYA","Stacy",5,1
"199",1,14,2,"NdytAQjOvVt1Ro8-Z99ngw","Tara",3.86,14
"200",20,36,10,"-nt-buRWQvDsbXuvhole0w","Robin",2.76,34
"201",0,3,0,"VDay0jaCPqADA2PIYco0uw","Courtney",2,1
"202",3807,4704,4135,"pYsYs7eQ9SWqAaQS0xoRLA","Greg",3.65,412
"203",2,1,0,"Dw8c5RaDIvbQ16eubug6rQ","Jim",5,1
"204",1,2,3,"1u_jzMe9q3rHLUr8wb_GdA","Mindy",4.81,17
"205",0,1,1,"UiEyQ_x2wNF6Ad8KFdoZ_A","Patty",5,3
"206",10,34,14,"_FbZ1gXZL349iiz5D8gz2Q","Chris",3.64,22
"207",3,4,2,"Ryy5lzNOevuI3aEc95768Q","Joe",5,8
"208",0,2,1,"SnbTDuEJZ3bvarb2L0Ykrw","Ryan",3.78,9
"209",6311,9219,9884,"P-lfV8cdAgEOZJkw2dJpsw","David",3.92,1033
"210",0,3,0,"cCQberZUpkXgdGtCoqTvMg","Patrick",3.67,3
"211",0,12,1,"vewaAGn2n53naTA1a2WP_A","Stacy",4.2,5
"212",0,2,1,"Z18eLwQq7SYPd02nPo7juA","Andrew",5,1
"213",1,1,1,"xJmdrh4uEDAKf-2KjRArHg","Jack",3.4,6
"214",82,194,85,"uEG5uD9wMJixGWxaq34IEw","Steven",3.64,139
"215",2,2,3,"PESZTjx1dw1XFdZp972qbA","Brian",4.2,5
"216",1,5,1,"0PDyF0G9HNEkC4qT2cSQFA","Mike",3.29,8
"217",0,0,0,"q6wboZhfNXd9dI57ct0XIw","Munaf",4,1
"218",0,1,0,"f-_7wdkiXOc9TEfa4ZJEwA","Daina",4.62,8
"219",1,3,2,"0w7AQaUnSQztBbt4JT9k5w","Samantha",4,8
"220",431,1543,770,"jfXT_8J_EQnJVa4sJ3z6hg","Leang",3.8,1314
"221",8,7,2,"TPxhtgj6BzpKBih2G5EHIQ","Rachel",2.6,6
"222",0,1,1,"iP2sk2ek0sDyWJIZyU4j2g","Kristen",5,2
"223",0,7,2,"d0KoBZ8tnsMzb2iG45vG-g","Amanda",3.33,18
"224",270,489,334,"74BsmOZHUUdsvzYtGtlRiw","Jennifer",3.81,347
"225",6,4,3,"ZjP38OJwq604QnBzDxVlSA","Kalia",4.14,7
"226",1,6,2,"mYhWH6RExfM_EpMR_uUozQ","Walton",4.25,28
"227",2,24,4,"8Uuwc4VaupFWvlGRwOZ31w","C. Edward",3.88,26
"228",0,2,0,"VdL4eS8fAWCNInNtMvd-tw","Rocky",2.82,17
"229",1,4,4,"jQcGFSO18cicLzCtjhvGBA","Kari",4.8,5
"230",12,65,12,"XoNSmEkutP_17dO7HLYc1Q","Maria",3.23,31
"231",2,6,3,"3QaC0Ljl2hWLdL_jzt6nJA","Roy",4.31,16
"232",2,4,0,"cRDmScDj6j_jPlyZn27bXA","Brad",2.7,11
"233",3,2,2,"fCAuRQFkaN3UEebkfgpHUw","April",4.5,8
"234",1,2,1,"I5AcIAujn4X0fzjq-CTLBg","Shelton",5,4
"235",1,4,1,"Bw9aoRUhoog-AtVnDBw_eA","Johnathan",4.43,7
"236",155,243,267,"-txH2zJSBZQHO6RWvoWXuQ","Jacqui",4.05,58
"237",1,8,5,"jyu9ThrwLGgVE1csLKR1Yw","C",3.77,13
"238",2,1,1,"6Oko6gNlXvknpF27R1FWOA","Rob",3,5
"239",0,3,3,"dDH8DGz2-PG558RHu5rWDQ","Dan",3.14,8
"240",0,1,0,"IwZkZmCpc2D7DslEogiBYg","Penny",4,1
"241",0,0,0,"1g-nGTPpg3_pjYbkgRI9jQ","Joe",4,1
"242",22,56,30,"x8n40c7W1MTWTTXsI2TxTw","Jane",3.9,50
"243",1511,2519,2110,"tdNV2Wb0LrFpm1Yfov_Klw","Deb",3.91,357
"244",5,6,3,"TouZvN0GpE8Ngm8_cWOK1w","Chris",4,9
"245",3,14,1,"P1gw1GkB7Kye4LK52a9kXA","Marlena",3,6
"246",7,23,9,"gQhHDBekmBHSKdQ2j5mmQg","Gretchen",3.15,61
"247",0,5,0,"nWp3eeRsjv1ol3wCt3Ry7Q","Sveta",2.67,6
"248",1,6,1,"SZxqMdlFbidxrxjiCDzryQ","Patrick",3.2,5
"249",5,15,9,"Fjs6c1PwzY1YbTcuAyubCQ","Mark",4,32
"250",2,1,0,"AVHseP2_PaUlCWhSsS7oKg","Jason",3.5,3
"251",3,8,5,"5hOiRU4n02xNvxsfKKoznA","Kristin",3.44,9
"252",37,144,75,"i4MKtZoii8WCSq518WvIkw","Brittany",4.1,60
"253",7,29,10,"oeQjThrGQAQIHWN2qBeERw","david",4.21,29
"254",66,169,80,"mQba83gB018LlGt51r80ZQ","Dan",3.82,106
"255",0,0,0,"qnMSU4fQFauVQGLCotjlww","Joell",5,1
"256",8,25,7,"j2mGvnnXhp_fUxiNIoH6KQ","A.",3.44,27
"257",4,3,1,"dPPa8QTRDT-6-LfRYQeIHQ","Paul",3.29,7
"258",2,16,2,"rUkjzVMimlyQ5n6iePQ5FQ","F",4.04,24
"259",18,86,30,"WYfVgKWdSHr8NoOEjnf8BA","David",3.62,174
"260",0,4,0,"r8Jtn1IXRsZEddyYLdczDA","Tom",3.75,4
"261",1,18,1,"8AmFNpqDOvj5Yjfhxpysvw","Mike",3.86,51
"262",12,49,7,"NwsZvz90aj-bUg5hjyJmWg","Christopher",3.26,27
"263",0,4,2,"r3tb0RdVAx0wiGWFLv0t8g","Dyl",4.5,2
"264",0,5,0,"PKZvqm3IeWiWBYoDDoEG4w","p",3.22,10
"265",18,49,16,"yvvtblpPi_QH41Jm6ari0w","Sarah",4,5
"266",9,25,5,"HrJ2gJ-J-WuoUKTAz_02Aw","alfred",3.2,20
"267",0,4,0,"c4Frs03yozdJJ3uvuSAp3A","Penny",4.44,9
"268",1,5,0,"FX7xoins2KhtC7y79BEU9g","Patricia",3.38,16
"269",0,8,1,"F28hTTLhM5sEtIc8k7KQVw","Beverly",5,5
"270",0,3,0,"lS6LniF_pemBHBzigzWBbg","Jessica",1.5,2
"271",4,26,5,"oUGmoziFCwNi2oUHB54SGg","Allen",4.26,23
"272",3,3,0,"4GzBe-7iyLaCFHfqbChXyw","Diane",2.43,7
"273",6,25,18,"ebsr5Hg2hE99-iEzSRPdBg","Glenn",4,9
"274",1,7,0,"HAV50pwRVkmu8ZHD0bbZHQ","Nic",3.2,10
"275",0,4,0,"sMiqBDhg1oasooQ7pWBQ_Q","Ravi",3.5,2
"276",0,0,0,"zX-1TG5Faj7aDAt15X1vmg","Kristie",4,2
"277",2,6,5,"mSyCw4WTV3oLtTtRE-uylQ","Andrew",3.22,9
"278",1317,1851,1602,"zw-bIcZP4_VEi3UetomDeg","Angela",4,381
"279",36,160,103,"r_5slEuf2V8ab3SZMHVfgA","Sarah",3.78,117
"280",0,3,1,"oZVr2_zB0h-Jb2dE4IVWbw","Zeb",4.29,7
"281",0,4,1,"omeswY0LjLvCb8qouz763w","Laura",3.83,6
"282",9,66,16,"FGdS11SSEE0VZnb7E4BiiA","Renee",3.47,76
"283",9,27,8,"7H6TgnJAxZjK4ZWdq8-Tqg","Alex",2.97,36
"284",19,38,25,"zigHnwA0FSGPGUE59lLFzA","Jessie",4.04,24
"285",11,42,7,"f7Hv9J9GTTXd3XsfRgt3Pw","Valerie",3.1,40
"286",2,22,7,"SKkvXrkPKEANoxNiBzfCtg","Marie",3.79,19
"287",32,111,61,"TpiiNLZRlBiNs35Nlm2-wg","Chaka",4.12,124
"288",16,69,48,"KvvUJzBFR0BffuNrrLUZug","Katy",3.59,63
"289",1,8,1,"QlCdjt6FoM8-qa51N2jCSQ","Michon",5,8
"290",0,3,0,"MfBVS__OS-2Nm-zzmo7gEA","Charlene",3.17,6
"291",12,105,29,"6W8g1cFTauSG7GsZGNhIjw","Bonnie",3.53,78
"292",6,16,8,"9YcqKqs7xFH2tMOuqoUsQA","Adam",4,8
"293",2,5,1,"4wLQR_2P2eYQUC04yxm09A","Tom",4.2,6
"294",0,0,0,"aj_KGzzcR-l7sewDnApqDA","Timothy",4,1
"295",1,19,0,"z99Xto9oUSRfaj03mqQlfA","Alana",3.67,9
"296",0,1,0,"OfIm-r7GAv7p5JwzPUYDXg","Sheyna Lei",3.29,7
"297",6,18,5,"76SlIVfcXJujKQ3xSyYtOQ","Dave",3.8,25
"298",0,0,0,"kruq_yMP2e__5vpG8sTq3Q","Matthew",5,3
"299",1,19,10,"YiTrAuaKH0QGBHYe0h18Gw","Eduardo",3.39,18
"300",1,0,0,"bi9COAGNGGFWaScZ2DgMzQ","Matt",2,2
"301",7,28,9,"Wmlxh305msxQuG2Mje_AvA","Christopher",4.74,19
"302",0,6,0,"cMNHD4NWHvsKhmJlx5F3ag","Kim",4.6,5
"303",2,10,6,"7AYyejHIG5r7P7JFsZ3njw","Kellen",4.29,14
"304",18,68,33,"tDxKlkWxL1Dd1Sp_nBF6BA","O",4.25,48
"305",2,5,1,"uQPynTxs2LUNHerWP3Jbhg","Tim",3.5,2
"306",0,5,1,"JZo5obvpX6Dsc42eheh_bw","William",3,1
"307",48,190,63,"b87-U2ZwReh80dLWA-ZieA","Melissa",3.34,80
"308",0,8,0,"s0JvVpNcu1KacfWXboVuvw","Robert",4.29,7
"309",18,55,24,"izrPGEutYNurRfodgsIxAw","Aliria",4.3,20
"310",8,68,14,"Xzy0-Ju1stFNrgqs0IrGiQ","Shannon",3.87,46
"311",7,23,5,"5jODkdonMV0HbIIPik1RuA","Emina",4,26
"312",6,8,8,"4aM_mL0xArtvpJBwetqagw","Rebeccah",4.8,10
"313",12,39,12,"IsvpOkTel_AWtGTAapM6XQ","John",4.23,56
"314",4,18,13,"MQz-bZND3T_-RRwBOcINKQ","Frank",4.29,28
"315",0,12,1,"yT5zeZCV2jDHdQX5xBSxpA","Stella",4.1,10
"316",24,110,30,"BVqYroeIcjd5dZq6axUNAg","Out-n-abou",3.7,93
"317",6,14,3,"wHJOaznFDWzoAwQskGgAJg","Adriana",1.86,7
"318",5,4,3,"ChasWJt6OMCsIpPg4Uly8g","Natalie",3.5,8
"319",2,3,0,"JJ-4CMgzXvH-2ezBdojnaw","Will",5,2
"320",1,2,0,"enD3soG1PXoBx60R9oXb3A","Ruth",1,1
"321",0,1,0,"fOpw1fEVhhWMqo0B7NjsVw","Beth",5,1
"322",0,2,1,"ISTfsB5G2Qsqvr6r4vVy9g","melinda",3.67,3
"323",4,3,1,"ttUEswTJvegyDC88G8VxZg","Jesus",3.12,8
"324",86,125,72,"-QT_e-7VSun5c2z85k_k5A","Allison",3.96,46
"325",5,18,3,"OP0Rh-KTJKb2r6yQYu6ytQ","Penny",2,10
"326",3,16,4,"F8REvqCL9BjIp6B9rUU_2Q","Candace",3.17,6
"327",17,67,26,"_Li1-mskJaqD2lhQRlWo0A","Cherepaha",3.53,34
"328",0,1,0,"vH1t_AB1Pqzoi0D04NvZBg","Melissa",4.5,2
"329",5,22,11,"pCxaM5a3eEkfRZme28H4Xg","Blendy",4.18,11
"330",1,2,1,"2BiT4UmTnrnipyJTcBb6QA","Christopher",3.18,11
