address1,address2,aging,anti_discrimination_human_rights,arts_culture,bbl,bin,borough,bronx,brooklyn,business,census_tract,child_care_parent_information,city,community_board,community_council,community_service_volunteerism,counseling_support_groups,description,disabilities,domestic_violence,education,employment_job_training,faith_based_organization,fax,foundation,health,homelessness,housing,immigration,is_registered_with_the_attorney_general_s_office,latitude,legal_services,lesbian_gay_bisexual_and_or_transgender,location_1,longitude,manhattan,new_york_city_agency,none_of_the_above,nonprofit,nourl,nta,organizationname,other_government_organization,outsideloc,outsidelocdesc,personal_finance_financial_education,phone,postcode,professional_association,published,queens,staten_island,url,veterans_military_families,victim_services,youth_services
50 Broad Street - Suite 1825,,N,Y,N,,,,Y,Y,N,,N,New York,,,N,N,"The mission of NLIRH is to ensure the fundamental human right to reproductive health and justice for Latinas, their families and their communities through public education, community mobilization and policy advocacy.",N,N,N,N,N,2124222556,N,Y,N,N,Y,N,,N,Y,,,Y,N,N,Y,N,,National Latina Institute for Reproductive Health,N,Y,"1634 Eye Street, NW Suite 1001 , Washington DC ",N,2124222553,10004,N,Published,Y,Y,http://www.latinainstitute.org,N,N,N
866 UN Plaza - Suite 508,,N,N,N,,,,Y,Y,N,,N,New York,,,N,N,A national not-for-profit health organization dedicated to providing information and education to all women.,N,N,Y,N,N,2127141252,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,N,,American Menopause Foundation,N,N,,N,2127142398,10017,N,Published,Y,Y,http://www.americanmenopause.org,N,N,N
"80 Hanson Place, Suite 305",,N,N,N,3020030034,3057479,BROOKLYN ,N,Y,N,35,N,Brooklyn,2,35,N,N,"Scenarios USA is a 501(c)3 nonprofit organization that that uses writing and filmmaking to foster youth leadership, advocacy and self-expression in under-served teens. Scenarios USA asks teens to write about the issues that shape their lives for the annual ""What's the REAL DEAL?"" writing contest, and thousands have responded with their raw and revealing insights. 

The winning writers are partnered with some of Hollywood's finest filmmakers to transform their stories into award-winning short films. 15 million people a year watch the Scenarios USA films at film festivals, on television and in high schools nationwide. Scenarios USA believes that by valuing youth and listening to their opinions we can have an impact on promoting healthy relationships and lowering the rate of HIV, STDs and pregnancy among teens.",N,N,Y,N,N,7182304381,N,Y,N,N,N,N,40.685488,N,N,"{'latitude': '40.685488', 'needs_recoding': False, 'longitude': '-73.974421'}",-73.974421,N,N,N,Y,N,Fort Greene                                                                ,Scenarios USA,N,Y,"Cleveland, OH and Madison Wisconsin",N,7182305125,11217,N,Published,N,N,http://www.scenariosusa.org,N,N,N
1233 Second Avenue,,N,N,N,1014197501,1043870,MANHATTAN,N,N,Y,118,N,New York,8,4,N,N,"For over 100 years, Grace Institute has provided tuition-free, practical job training in a supportive learning community for underserved New York area women of all ages and from many different backgrounds. In the tradition of its founding family, Grace is dedicated to the development of the personal and business skills necessary for self-sufficiency, employability and an improved quality of life.",N,N,Y,Y,N,2124862869,N,N,N,N,N,N,40.764111,N,N,"{'latitude': '40.764111', 'needs_recoding': False, 'longitude': '-73.961803'}",-73.961803,Y,N,N,Y,N,Lenox Hill-Roosevelt Island                                                ,Grace Institute,N,N,,Y,2128327605,10065,N,Published,N,N,http://graceinstitute.org/,N,N,N
1666 Bathgate Avenue  (172nd St - 173rd St),,N,N,N,2029200002,2086675,BRONX    ,Y,N,N,167,N,Bronx,3,16,N,N,"The Bronx Educational Opportunity Center is a free of cost educational institution of the State University of New York, established to educate and train youth and adults in the Bronx communities who qualify. The center offers continuing, remedial and vocational education in a life-long learning process, in order to develop a skilled workforce for the future. In and through the educational activities, the center is also a force and a catalyst for community revitalization and total development of the individual. 

Our Believes:
The Bronx EOC values dignity and self-respect in every individual in the community. We believes that the disadvantaged people in our communities have a right to self-determination and power through higher education and greater participation in the society.

List of free courses:
-English GED 
-Spanish GED 
-Vocational and Academic Preparation Lab 
-College Preparation 
-Executive Assistant
-Security Guard Registration 
-Emergency Medical Technician",N,N,Y,Y,N,7189011869,N,N,N,N,N,N,40.840948,N,N,"{'latitude': '40.840948', 'needs_recoding': False, 'longitude': '-73.900334'}",-73.900334,N,N,N,Y,N,Claremont-Bathgate                                                         ,Bronx EOC,N,N,,N,7185307008,10457,N,Published,N,N,http://www.MySpace.com/BronxEO,N,N,N
Mobile Ministries,"Restoration Plaza Station, P.O. Box 471748",Y,Y,N,,,,N,Y,Y,,Y,Brooklyn,,,N,Y,"Committed to Communities Mobile Ministries is a non profit Certified Emergency Care and Safety Institute providing individuals with the knowledge and experience to engage in lifesaving measures. Instructors teach skills to promote healthy, safe and productive lifestyles for our neighbors. The outreach offered through the mobile ministries raises awareness to prevent injustice and stop atrocities associated with poverty and racial or religious intoloerance, while sharing a message of love and hope. The Ordained Members of The Clergy and Members of The Laity volunteer to serve as vital componets of the communities where they live and work by promoting the public good through programs to prevent cruelty to women, children and the elderly.",Y,N,Y,Y,N,3472408321,N,Y,N,N,Y,N,,Y,N,,,Y,N,N,Y,N,,Committed to Communities,N,Y,"CA, FL, NJ, NC AND Washington DC",N,7177334161,11247,N,Published,Y,N,http://www.mobilechristianministries.com,Y,Y,N
P.O. Box 330-704,,Y,N,Y,,,,N,Y,N,,Y,Brooklyn,,,N,Y,"The African American Planning Commission, Inc. (""AAPCI"") was founded in 1996 by current Executive Director, Matthew okebiyi. 
AAPCI is a New York City-based 501(c)(3), nonprofit organization committed to addressing issues of homelessness (domestic violence, HIV/AIDS, housing shortage, and unemployment) within the communities in which we live and serve.",N,Y,N,N,N,7182187115,N,N,Y,Y,N,N,,N,Y,,,N,N,N,Y,N,,"African American Planning Commission, Inc.",N,N,,N,7182187254,11233,N,Published,N,N,http://www.aapci.org,N,N,N
"315 West 36th Street, 4th Floor",,Y,N,N,1007607501,1013595,MANHATTAN,Y,Y,N,111,Y,New York,4,3,N,Y,"The Family Center works to create a more secure present and future for children whose parents have a life-threatening illness by providing comprehensive legal and social services, education and research. Our work is fueled by the belief that every child deserves an answer to the question: Who Will Take Care of Me?",N,N,N,N,N,2127661696,N,Y,N,N,N,N,40.753785,Y,Y,"{'latitude': '40.753785', 'needs_recoding': False, 'longitude': '-73.993229'}",-73.993229,Y,N,N,Y,N,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,The Family Center,N,N,,N,2127664522,10018,N,Published,Y,Y,http://www.thefamilycenter.org,N,N,N
314 West 54th Street,Apt. 515,N,N,Y,1010440022,1025397,MANHATTAN,N,N,N,133,Y,New York,4,3,N,Y,"The first community court in the nation, the Midtown Community Court is a criminal court that opened in 1993.  It hears misdemeanor and summons cases and combines punishment with help to deter future offending.  It holds low-level offenders accountable by sentencing them to perform community restitution that is immediate, visible, and meaningful. At the same time, it helps offenders address underlying problems, such as homelessness, unemployment, and substance abuse, by linking them to on-site social services such as mental health counseling, job training, and drug treatment. To meet the specific needs of women, we run Choices, a comprehensive initiative that helps women involved with the justice system to achieve their independence and transcend their pasts.",N,N,Y,Y,N,2125861144,N,Y,N,Y,Y,N,40.765082,Y,Y,"{'latitude': '40.765082', 'needs_recoding': False, 'longitude': '-73.984997'}",-73.984997,Y,N,N,Y,N,Clinton                                                                    ,Midtown Community Court/Fund for the City of New York,N,N,,N,6462641300,10019,N,Published,N,N,http://www.courtinnovation.org,N,Y,N
1 Centre Street,15th Floor,Y,Y,N,1001210001,1001394,MANHATTAN,Y,Y,Y,29,Y,New York,1,1,N,Y,"The Public Advocate answers complaints about people's problems with city government, investigates agencies and programs, proposes solutions that make government more efficient, and helps communities gain better access to government.  She has successfully advocated for improved reproductive health services, prenatal care services, and general health services for women.  The Public Advocate has also worked to improve gender equity in schools and supported measures to increase access to city contracts for women-owned businesses.",Y,N,Y,N,N,,N,Y,N,Y,N,N,40.713001,N,Y,"{'latitude': '40.713001', 'needs_recoding': False, 'longitude': '-74.004181'}",-74.004181,Y,Y,N,N,N,Chinatown                                                                  ,"New York City Office of the Public Advocate, Betsy Gotbaum",N,N,,N,2126697250,10007,N,Published,Y,Y,http://www.pubadvocate.nyc.gov,Y,Y,N
"150 Broadway, 14th Floor",,N,N,N,1000640012,1001087,MANHATTAN,Y,Y,N,1502,N,New York,1,1,N,N,"Nonpartisan membership organization, open to women and men.",N,N,Y,N,N,2127253443,N,N,N,N,N,N,40.70932,N,N,"{'latitude': '40.70932', 'needs_recoding': False, 'longitude': '-74.010392'}",-74.010392,Y,N,N,Y,N,Battery Park City-Lower Manhattan                                          ,League of Women Voters of the City of New York,N,N,,N,2127253541,10038,Y,Published,Y,Y,http://www.lwvnyc.org,N,N,N
64 Beaver Street,Suite 121,N,N,N,1000280005,1000832,MANHATTAN,Y,Y,Y,7,N,New York,1,1,N,N,"Girls Incorporated of New York City is dedicated to inspiring all girls to be strong, smart, and bold.  We carry out our mission by delivering research-based experiential education programs with girls ages 6-18 during and after school and by delivering staff development trainings in the areas of gender equity and sexuality education. Our comprehensive programs are developed by the national organization, Girls Inc., and focus on the following topics: media literacy, economic literacy, violence prevention, self defense, sports, science, technology, health, sexuality and career readiness.",N,N,Y,N,N,2125317622,N,Y,N,N,N,N,40.705198,N,N,"{'latitude': '40.705198', 'needs_recoding': False, 'longitude': '-74.009648'}",-74.009648,Y,N,N,Y,N,Battery Park City-Lower Manhattan                                          ,Girls Incorporated of New York City,N,N,,Y,2125317620,10004,N,Published,Y,Y,http://www.girlsincnyc.org,N,Y,N
Bon Secours New York Health System,2975 Independence Avenue,Y,N,N,,,,Y,N,N,,N,Riverdale,,,N,N,"The mission of Bon Secours New York Health System is to bring compassion to health care and to be ""good help"" to those in need?. Bon Secours New York's mission is carried out through the services and programs of Schervier Nursing Care Center, Burke at Schervier Short-Term Rehabilitation Program, Schervier Respite Care, Schervier Center for Alzheimer's and Dementia Care, Schervier Home Health Care, Schervier Center for Research in Geriatric Care, the Schervier Apartments and Buena Ayuda Information and Referral Center.",N,N,N,N,N,7184320744,N,Y,N,N,N,N,,N,N,,,N,N,N,Y,N,,Schervier Nursing Care Center,N,Y,Westchester County,N,8002605006,10463,N,Published,N,N,http://www.scherviercares.org,N,N,N
"163 West 125th Street, Suite 901",,N,N,N,1019100001,1081602,MANHATTAN,Y,Y,Y,222,N,New York,10,9,N,N,US Government agency that assists US companies with exporting US-made goods and services overseas.,N,N,Y,N,N,2128606203,N,N,N,N,N,N,40.808644,N,N,"{'latitude': '40.808644', 'needs_recoding': False, 'longitude': '-73.947524'}",-73.947524,Y,N,N,N,N,Central Harlem South                                                       ,US Department of Commerce/Harlem US Export Assistance Center,Y,Y,World Wide,N,2128606200,10027,N,Published,Y,N,http://www.Export.gov,N,N,N
40 Worth Street,,N,N,N,1001480015,1001622,MANHATTAN,N,N,N,33,N,New York,1,1,N,N,The primary function of the agency is to maintain the infrastructure of the city.,N,N,N,N,N,2124421908,N,N,N,N,N,N,40.717363,N,N,"{'latitude': '40.717363', 'needs_recoding': False, 'longitude': '-74.006897'}",-74.006897,Y,Y,N,N,N,SoHo-TriBeCa-Civic Center-Little Italy                                     ,New York City Department of Transportation,N,N,,N,2124427760,10013,Y,Published,N,N,http://dot.nyc.gov,N,N,N
120 Wall Street; Third floor,,N,N,N,1000370001,1000871,MANHATTAN,N,N,N,7,N,New York,1,1,N,N,"Girls Incorporated is a nonprofit organization that inspires all girls to be strong, smart, and bold.  With local roots dating to 1864 and national status since 1945, Girls Inc. has responded to the changing needs of girls through research-based programs and public education efforts that empower girls to understand, value, and assert their rights.  In 2007, Girls Inc. reached over 900,000 girls through Girls Inc. affiliates, our website, and educational publications.",N,N,Y,N,N,,N,N,N,N,N,N,40.70438,N,N,"{'latitude': '40.70438', 'needs_recoding': False, 'longitude': '-74.006427'}",-74.006427,Y,N,N,Y,N,Battery Park City-Lower Manhattan                                          ,Girls Incorporated,N,Y,97 organizations across the U.S. and Canada,N,2125092000,10005,N,Published,N,N,http://www.girlsinc.org,N,N,N
1000 tenth ave ny 10019    12th floor  L&D,,N,Y,N,1010680001,1082718,MANHATTAN,N,N,N,145,N,new york,4,3,N,N,Hospital,N,N,N,N,N,2125238679,N,Y,N,N,N,N,40.770297,N,N,"{'latitude': '40.770297', 'needs_recoding': False, 'longitude': '-73.987689'}",-73.987689,Y,N,Y,N,Y,Lincoln Square                                                             ,St. Luke's Roosevelt Hospital,N,N,,N,2125238212,10019,N,Published,N,N,,N,N,N
1616 Newkirk Avenue,,N,N,N,3052370006,3121203,BROOKLYN ,N,Y,Y,518,N,Brooklyn,14,40,N,N,"FDC is dedicated to meeting the needs of a diverse Flatbush community. 
FDC identifies and responds to these needs by creating programs, campaigns, and partnerships through economic development, housing, youth, immigration and other initiatives that promote enhanced quality of life, safety, and preservation of our neighborhood.",N,N,Y,Y,N,7188594632,N,N,N,Y,Y,N,40.63604,N,N,"{'latitude': '40.63604', 'needs_recoding': False, 'longitude': '-73.962241'}",-73.962241,N,N,N,Y,N,Flatbush                                                                   ,Flatbush Development Corporation,N,N,,N,7188593800,11226,N,Published,N,N,http://fdconline.org,N,N,N
"111 East 14th Street, PMB#147",,N,Y,N,1008707501,1083247,MANHATTAN,Y,Y,N,50,N,New York,5,2,N,N,"WHCNY is rooted in the leadership and experiences of women living with HIV and AIDS.  As women, we are committed to empowering and supporting women, to develop innovative solutions through research, policy, advocacy and economics to promote platforms that support social justice and human rights for all.",N,N,Y,N,N,,N,Y,N,N,N,N,40.73419,N,N,"{'latitude': '40.73419', 'needs_recoding': False, 'longitude': '-73.989294'}",-73.989294,Y,N,N,Y,N,Gramercy                                                                   ,Women's HIV Collaborative of New York,N,N,,N,2123671012,10003,N,Published,Y,Y,http://www.womenscollaborative,N,N,N
"PO Box 8419, FDR Station",,Y,Y,Y,,,,Y,Y,Y,,Y,New York,,,N,Y,"NYWA's mission is simple and powerful:

We are a coalition of women professionals and community activists who support the diversity and interests of New York women through collaboration, advocacy and education.

To advocate and collaborate for the interests of New York women in public policy decisions that affect our lives.

To increase women?s participation in public policy discussions on economic, political and social issues.

To support member organizations in their individual efforts.

NYWA's members represent the diversity of the city and include community groups; religious, ethnic, and political groups; professional associations; and issues-based groups. Through NYWA, these groups unite to work on issues of common interest and to advocate for public policy. Together, the voices of NYWA members work in concert to become one rousing chorus, impossible to ignore.",Y,N,Y,Y,N,,N,Y,N,Y,N,N,,Y,Y,,,Y,N,N,Y,N,,New York Women's Agenda,N,N,,N,2129372411,10150,Y,Published,Y,Y,http://www.nywa.org,N,Y,N
410 East 92nd Street,,N,N,N,1015717501,1081307,MANHATTAN,N,N,N,152,Y,New York,8,5,N,Y,"Spence-Chapin is an accredited, nonprofit, nonsectarian agency that has been offering quality adoption services for 100 years. Our mission is to find adoptive homes for children in need here and in countries around the world.",N,N,Y,N,N,2123698589,N,N,N,N,N,N,40.780488,N,N,"{'latitude': '40.780488', 'needs_recoding': False, 'longitude': '-73.946119'}",-73.946119,Y,N,N,Y,N,Yorkville                                                                  ,Spence-Chapin Services to Families and Children,N,Y,"Long Island, New Jersey",N,2123690300,10128,N,Published,N,N,http://www.spence-chapin.org,N,N,N
340 East 24th Street,,Y,N,N,1009290038,1020597,MANHATTAN,N,N,Y,64,Y,New York,6,2,N,Y,"ICD's mission is to help people with disabilities achieve greater health and independence at home, on the job, at school and in the community. Each year, we provide high quality, comprehensive and integrated medical rehabilitation; cognitive rehabilitation; speech/language, learning and hearing services; mental health and addiction recovery services; and vocational rehabilitation and job placement services to 4,000 poor and low-income individuals from all five boroughs of New York City.",Y,N,Y,Y,N,,N,Y,N,N,N,N,40.737826,N,N,"{'latitude': '40.737826', 'needs_recoding': False, 'longitude': '-73.978717'}",-73.978717,Y,N,N,Y,N,Gramercy                                                                   ,ICD-International Center for the Disabled,N,N,,N,2125856000,10010,N,Published,N,N,http://www.icdnyc.org,Y,N,N
1207 Castleton Avenue,,N,N,N,5001980146,5005312,STATEN IS,N,N,Y,13302,N,Staten Island,1,49,N,N,"The West Brighton Community Local Development Corporation (WBCLDC), serving the Staten Island Business Community since 1981, offers programming to assist new entrepreneurs and existing businesses. Our one-on-one business counseling and seminars on timely business topics are available to all Staten Islanders. WBCLDC hosts a satellite office of the BOC Women?s Business Center.  Through the BOC WBC, we offer one-on-one counseling, long-term training and short-term seminars targeting women entrepreneurs in Staten Island. The WBC is sponsored by the US Small Business Administration.",N,N,N,N,N,7188167234,N,N,N,N,N,N,40.63412,N,N,"{'latitude': '40.63412', 'needs_recoding': False, 'longitude': '-74.122617'}",-74.122617,N,N,N,Y,N,West New Brighton-New Brighton-St. George                                  ,West Brighton Community Local Development Corp./BOC Women's Business Center,N,N,,N,7188164775,10310,N,Published,N,Y,http://wbcldc.org,N,N,N
"260 West 36th Street, Suite 504",,N,N,N,,,,N,N,N,,N,New York,,,Y,N,,N,N,N,N,N,2127417236,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,,,Hunger Action Network of New York State,N,,,N,2127418192,,N,Published,N,N,http://www.hungeractionnys.org/,N,N,N
"P.O.Box 572, Old Chelsea Station",,N,N,N,,,,N,N,N,,N,New York,,,N,N,,N,N,N,N,N,,N,N,N,N,N,N,,N,Y,,,Y,N,N,Y,,,"Identity House, Inc.",N,,,N,2122438181,10011,N,Published,N,N,http://www.identityhouse.org/,N,N,N
3815 Avenue P,,N,N,N,3077000003,3211944,BROOKLYN ,N,Y,N,648,N,Brooklyn,18,45,N,N,"Transitional Independent Living Group Residence

Capacity: 7 females only",N,N,N,N,N,,N,N,N,Y,N,N,40.617337,N,N,"{'latitude': '40.617337', 'needs_recoding': False, 'longitude': '-73.936994'}",-73.936994,N,N,N,Y,,Georgetown-Marine Park-Bergen Beach-Mill Basin                             ,"Imeinu, Inc.",N,,,N,7182535364,11234,N,Published,N,N,,N,N,N
"170 Forsyth Street, 2nd Fl",,Y,N,N,1004217502,1075911,MANHATTAN,N,N,N,3601,N,New York,3,1,N,Y,,N,N,Y,N,N,2129250327,N,Y,N,N,Y,N,40.721238,N,N,"{'latitude': '40.721238', 'needs_recoding': False, 'longitude': '-73.991385'}",-73.991385,Y,N,N,Y,N,Chinatown                                                                  ,Indochina Sino-American Senior Citizen Center,N,N,,Y,2122260317,10002,N,Published,N,N,http://www.isacc-ny.org,N,N,N
160 West 24 St.,,N,N,N,,,,N,N,N,,N,New York,,,N,N,,N,N,N,N,N,2122433175,N,Y,N,N,N,N,,N,N,,,Y,N,N,Y,,,Institute for Human Identity,N,,,N,2122432830,,N,Published,N,N,http://www.ihi-therapycenter.org,N,N,N
537 East 12th Street,,N,N,N,1004060046,1000000,MANHATTAN,N,N,N,34,N,New York,3,2,N,N,,N,N,Y,Y,N,,N,N,N,N,N,N,40.728694,N,N,"{'latitude': '40.728694', 'needs_recoding': False, 'longitude': '-73.980372'}",-73.980372,Y,N,N,Y,,East Village                                                               ,Institute for Labor and the Community,N,,,N,2125053184,10009,N,Published,N,N,,N,N,N
66 Chestnut St.,,N,N,N,,,,N,Y,Y,,Y,Brooklyn,,,N,N,,N,N,Y,Y,N,,N,N,N,N,N,N,,N,N,,,N,N,N,Y,N,,International Association of Administrative Professionals,N,N,,N,2128395313,,Y,Published,N,N,,N,N,N
"470 Park Avenue South, 3rd Fl",,N,N,N,1008610044,1080788,MANHATTAN,N,N,N,74,N,New York,5,2,N,N,,N,N,N,N,N,,N,N,N,N,N,N,40.745492,N,N,"{'latitude': '40.745492', 'needs_recoding': False, 'longitude': '-73.982515'}",-73.982515,Y,N,N,Y,,Midtown-Midtown South                                                      ,International Sheet Metal Workers Local Union 28,N,,,N,2127328199,10016,Y,Published,N,N,,N,N,N
